-rwxr-xr-x 1 root root 5.6M Jul  3 17:48 /usr/sbin/runc
-rw-r--r-- 1 root root 5.6M Nov 17  2016 /usr/lib/x86_64-linux-gnu/libspatialite.so.7.1.0
-rw-r--r-- 1 root root 5.6M Jul 23 11:44 /opt/idea-IC-192.5728.98/lib/util.jar
-rw-r--r-- 1 root root 5.4M Jun 20 16:29 /usr/lib/x86_64-linux-gnu/libQt5Gui.so.5.9.5
-rwxr-xr-x 1 root root 5.3M Jul 22 23:32 /usr/bin/mysql_install_db
-rw-r--r-- 1 root root 5.3M Mar 15  2018 /usr/share/GeoIP/GeoIPv6.dat
-rw-r--r-- 1 root root 5.3M Jun 20 16:29 /usr/lib/x86_64-linux-gnu/libQt5Core.so.5.9.5
-rw-r--r-- 1 root root 5.3M Apr 17  2018 /usr/lib/x86_64-linux-gnu/libc.a
-rw-r--r-- 1 root root 5.2M May 31 17:55 /usr/lib/x86_64-linux-gnu/libcrypto.a
-rw-r----- 1 raki raki 5.1M Aug 18 11:13 /data/ws-logs/project/webservice-info.log
-rwxr-xr-x 1 root root 5.0M Aug 26 14:23 /usr/local/bin/redis-cli
-rw-r--r-- 1 root root 5.0M Feb 10  2019 /var/cache/cracklib/cracklib_dict.pwd
-rw-r--r-- 1 root root 4.9M Jul 23 11:44 /opt/idea-IC-192.5728.98/lib/idea.jar
-rw-r--r-- 1 root root 4.9M Aug  4  2018 /usr/lib/libfreeipmi.so.16.0.8
-rwxr-xr-x 1 root root 4.8M Nov 12  2018 /usr/bin/shotwell
-rwxr-xr-x 1 root root 4.8M Jul  3 17:36 /usr/bin/containerd-shim
-rw-r--r-- 1 root root 4.8M Mar 13  2019 /usr/lib/file/magic.mgc
-rw-r--r-- 1 raki raki 4.8M Oct  3 12:45 /home/raki/Documents/oa_data_2019-10-03.zip
-rwxr-xr-x 2 root root 4.7M Apr  4  2019 /usr/bin/python3.7m
-rwxr-xr-x 2 root root 4.7M Apr  4  2019 /usr/bin/python3.7
-rw-r--r-- 1 root root 4.7M Sep  3  2013 /usr/lib/libbsapi.so
-rw-r--r-- 1 root root 4.7M Jan  3  2018 /usr/lib/libqscintilla2_qt5.so.13.1.0
-rwxr-xr-x 1 root root 4.6M Jul 22 23:32 /usr/bin/mysql_upgrade
